4
4
f7177163c833dff4b38fc8d2872f1ec6
[11.4.2021 | 3:19:15] {"type":"cmd","data":"run"}
,[11.4.2021 | 3:19:17] {"type":"cmd","data":"stop"}
,[11.4.2021 | 3:19:48] {"type":"cmd","data":"run"}
,[11.4.2021 | 3:19:48] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:48] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:48] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:48] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:48] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:48] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:48] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:48] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:49] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16400,"gpioe":256,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:50] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16400,"gpioe":256,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:51] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16400,"gpioe":256,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 3:19:51] {"client-id":"3969d4db-04ff-4fc7-9ce5-a1371377bb78","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16400,"gpioe":256,"modeltime":0,"type":"gpio"}
