-
-
cfab1ba8c67c7c838db98d666f02a132
[11.4.2021 | 1:29:16] {"type":"cmd","data":"run"}
,[11.4.2021 | 1:29:16] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:16] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:16] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:16] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:16] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:17] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:18] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
